model_id_train,dataset_id_train,prompt_id_train,subset_id_train,input_type_train,model_id_test,dataset_id_test,prompt_id_test,subset_id_test,input_type_test,layer,fold,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__classifier_cut,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__optimal_train_set_cut,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__test_roc_auc,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__train_accuracy_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__test_accuracy_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__train_f1_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__test_f1_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__train_precision_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__test_precision_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__train_recall_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__test_recall_score,direction__center_from_origin_False__classifier_cut_zero__classifier_cut,direction__center_from_origin_False__classifier_cut_zero__optimal_train_set_cut,direction__center_from_origin_False__classifier_cut_zero__test_roc_auc,direction__center_from_origin_False__classifier_cut_zero__train_accuracy_score,direction__center_from_origin_False__classifier_cut_zero__test_accuracy_score,direction__center_from_origin_False__classifier_cut_zero__train_f1_score,direction__center_from_origin_False__classifier_cut_zero__test_f1_score,direction__center_from_origin_False__classifier_cut_zero__train_precision_score,direction__center_from_origin_False__classifier_cut_zero__test_precision_score,direction__center_from_origin_False__classifier_cut_zero__train_recall_score,direction__center_from_origin_False__classifier_cut_zero__test_recall_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__classifier_cut,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__optimal_train_set_cut,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__test_roc_auc,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__train_accuracy_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__test_accuracy_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__train_f1_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__test_f1_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__train_precision_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__test_precision_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__train_recall_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__test_recall_score,direction__center_from_origin_True__classifier_cut_zero__classifier_cut,direction__center_from_origin_True__classifier_cut_zero__optimal_train_set_cut,direction__center_from_origin_True__classifier_cut_zero__test_roc_auc,direction__center_from_origin_True__classifier_cut_zero__train_accuracy_score,direction__center_from_origin_True__classifier_cut_zero__test_accuracy_score,direction__center_from_origin_True__classifier_cut_zero__train_f1_score,direction__center_from_origin_True__classifier_cut_zero__test_f1_score,direction__center_from_origin_True__classifier_cut_zero__train_precision_score,direction__center_from_origin_True__classifier_cut_zero__test_precision_score,direction__center_from_origin_True__classifier_cut_zero__train_recall_score,direction__center_from_origin_True__classifier_cut_zero__test_recall_score
ministral_8b_instruct,cities_10k,base,main,prompt_only,ministral_8b_instruct,medals_9k,base,main,prompt_only,18,0,0.15087385475635529,0.15087385475635529,0.547466045241626,0.7673085740486015,0.5,0.7595356550580431,0.6666666666666666,0.7857843137254902,0.5,0.7349839523154517,1.0,0.0,0.15087385475635529,0.547466045241626,0.7595139844108207,0.5,0.7589059986210067,0.6666666666666666,0.7608294930875577,0.5,0.7569922054103623,1.0,-1.049903154373169,-1.049903154373169,0.547466045241626,0.7673085740486015,0.5,0.7595356550580431,0.6666666666666666,0.7857843137254902,0.5,0.7349839523154517,1.0,0.0,-1.049903154373169,0.547466045241626,0.7044933516735442,0.5399159663865546,0.6085636197995749,0.5276779295470885,0.9010791366906474,0.5420974889217134,0.4594222833562586,0.5140056022408963
ministral_8b_instruct,cities_10k,base,main,prompt_only,ministral_8b_instruct,medals_9k,base,main,prompt_only,18,1,0.20597824454307556,0.20597824454307556,0.5372331079306366,0.7754098360655738,0.5,0.7650085763293311,0.6666666666666666,0.802158273381295,0.5,0.7311475409836066,1.0,0.0,0.20597824454307556,0.5372331079306366,0.7700234192037471,0.5,0.7699156513589503,0.6666666666666666,0.7702766057196437,0.5,0.7695550351288056,1.0,-0.996764600276947,-0.996764600276947,0.5372312964972312,0.7754098360655738,0.5,0.7650085763293311,0.6666666666666666,0.802158273381295,0.5,0.7311475409836066,1.0,0.0,-0.996764600276947,0.5372312964972312,0.7107728337236534,0.5329744279946165,0.6175286466398265,0.538563829787234,0.9113345521023766,0.5321944809461235,0.4669789227166276,0.5450874831763123
ministral_8b_instruct,cities_10k,base,main,prompt_only,ministral_8b_instruct,medals_9k,base,main,prompt_only,18,2,0.1376979649066925,0.1376979649066925,0.5545921631659436,0.7787383177570093,0.5,0.7726290516206482,0.6666666666666666,0.7945679012345679,0.5,0.7518691588785047,1.0,0.0,0.1376979649066925,0.5545921631659436,0.775,0.5,0.775052557813595,0.6666666666666666,0.7748715553479683,0.5,0.775233644859813,1.0,-1.0521043539047241,-1.0521043539047241,0.5545921631659436,0.7787383177570093,0.5,0.7726290516206482,0.6666666666666666,0.7945679012345679,0.5,0.7518691588785047,1.0,0.0,-1.0521043539047241,0.5545921631659436,0.7081775700934579,0.5642458100558659,0.6153372343701878,0.5599435825105783,0.9024390243902439,0.5655270655270656,0.46682242990654205,0.5544692737430168
ministral_8b_instruct,cities_10k,base,main,prompt_only,ministral_8b_instruct,medals_9k,base,main,prompt_only,18,3,0.12531685829162598,0.12531685829162598,0.5352454995603684,0.7828117702008407,0.5,0.7765497357039884,0.6666666666666666,0.7996041563582384,0.5,0.7547874824848202,1.0,0.0,0.12531685829162598,0.5352454995603684,0.7783745913124708,0.5,0.7778037930227113,0.6666666666666666,0.77981220657277,0.5,0.7758056982718355,1.0,-1.0800071954727173,-1.0800071954727173,0.5352454995603684,0.7828117702008407,0.5,0.7765497357039884,0.6666666666666666,0.7996041563582384,0.5,0.7547874824848202,1.0,0.0,-1.0800071954727173,0.5352454995603684,0.7085474077533863,0.527891156462585,0.6133828996282528,0.527891156462585,0.9107635694572217,0.527891156462585,0.4624007473143391,0.527891156462585
ministral_8b_instruct,cities_10k,base,main,prompt_only,ministral_8b_instruct,medals_9k,base,main,prompt_only,18,4,0.14152511954307556,0.14152511954307556,0.5418305498217302,0.7811486799444187,0.5,0.7747318235995232,0.6666666666666666,0.7981335952848723,0.5,0.7526632700324224,1.0,0.0,0.14152511954307556,0.5418305498217302,0.77674849467346,0.5,0.7766450417052827,0.6666666666666666,0.7770050996754752,0.5,0.776285317276517,1.0,-1.0424119234085083,-1.0424119234085083,0.5418305498217302,0.7811486799444187,0.5,0.7747318235995232,0.6666666666666666,0.7981335952848723,0.5,0.7526632700324224,1.0,0.0,-1.0424119234085083,0.5418305498217302,0.7116720704029643,0.5493150684931507,0.6205425175251448,0.569371727748691,0.9073083778966132,0.5451127819548872,0.4715145900880037,0.5958904109589042
ministral_8b_instruct,cities_10k,base,main,prompt_only,ministral_8b_instruct,trivia_qa_2_60k,base,main,prompt_only,18,0,0.15087385475635529,0.15087385475635529,0.71773928625114,0.7673085740486015,0.5056433408577878,0.7595356550580431,0.6689342403628118,0.7857843137254902,0.5028409090909091,0.7349839523154517,0.9988713318284425,0.0,0.15087385475635529,0.71773928625114,0.7595139844108207,0.5028216704288939,0.7589059986210067,0.6678605089538171,0.7608294930875577,0.5014152278516841,0.7569922054103623,0.9997178329571106,-1.049903154373169,-1.049903154373169,0.71773916682378,0.7673085740486015,0.5056433408577878,0.7595356550580431,0.6689342403628118,0.7857843137254902,0.5028409090909091,0.7349839523154517,0.9988713318284425,0.0,-1.049903154373169,0.71773916682378,0.7044933516735442,0.6566027088036117,0.6085636197995749,0.6316585956416465,0.9010791366906474,0.681135770234987,0.4594222833562586,0.588882618510158
ministral_8b_instruct,cities_10k,base,main,prompt_only,ministral_8b_instruct,trivia_qa_2_60k,base,main,prompt_only,18,1,0.20597824454307556,0.20597824454307556,0.7087067261896884,0.7754098360655738,0.5076565490839486,0.7650085763293311,0.6694814134924277,0.802158273381295,0.5038684719535783,0.7311475409836066,0.9972655181843041,0.0,0.20597824454307556,0.7087067261896884,0.7700234192037471,0.5021875854525567,0.7699156513589503,0.6674582153621336,0.7702766057196437,0.5010970927043336,0.7695550351288056,0.9991796554552912,-0.996764600276947,-0.996764600276947,0.7087070252853204,0.7754098360655738,0.5076565490839486,0.7650085763293311,0.6694814134924277,0.802158273381295,0.5038684719535783,0.7311475409836066,0.9972655181843041,0.0,-0.996764600276947,0.7087070252853204,0.7107728337236534,0.6528575334974023,0.6175286466398265,0.6347288159976981,0.9113345521023766,0.6697024893746205,0.4669789227166276,0.6032266885425212
ministral_8b_instruct,cities_10k,base,main,prompt_only,ministral_8b_instruct,trivia_qa_2_60k,base,main,prompt_only,18,2,0.1376979649066925,0.1376979649066925,0.7162410846691618,0.7787383177570093,0.5054621848739496,0.7726290516206482,0.6687306501547987,0.7945679012345679,0.5027507405840034,0.7518691588785047,0.9983193277310924,0.0,0.1376979649066925,0.7162410846691618,0.775,0.5026610644257703,0.775052557813595,0.6677893161193751,0.7748715553479683,0.5013344570866695,0.775233644859813,0.9997198879551821,-1.0521043539047241,-1.0521043539047241,0.7162410846691618,0.7787383177570093,0.5054621848739496,0.7726290516206482,0.6687306501547987,0.7945679012345679,0.5027507405840034,0.7518691588785047,0.9983193277310924,0.0,-1.0521043539047241,0.7162410846691618,0.7081775700934579,0.6584033613445378,0.6153372343701878,0.6421129860601614,0.9024390243902439,0.6742681047765794,0.46682242990654205,0.6128851540616247
ministral_8b_instruct,cities_10k,base,main,prompt_only,ministral_8b_instruct,trivia_qa_2_60k,base,main,prompt_only,18,3,0.12531685829162598,0.12531685829162598,0.7155458985366565,0.7828117702008407,0.5063149031714848,0.7765497357039884,0.6688629518072289,0.7996041563582384,0.5031865174904404,0.7547874824848202,0.997193376368229,0.0,0.12531685829162598,0.7155458985366565,0.7783745913124708,0.5029469548133595,0.7778037930227113,0.6676674798273597,0.77981220657277,0.5014799154334038,0.7758056982718355,0.9985966881841145,-1.0800071954727173,-1.0800071954727173,0.7155458985366565,0.7828117702008407,0.5063149031714848,0.7765497357039884,0.6688629518072289,0.7996041563582384,0.5031865174904404,0.7547874824848202,0.997193376368229,0.0,-1.0800071954727173,0.7155458985366565,0.7085474077533863,0.6618018523715969,0.6133828996282528,0.6435965690624076,0.9107635694572217,0.6802125664270084,0.4624007473143391,0.6107213022733652
ministral_8b_instruct,cities_10k,base,main,prompt_only,ministral_8b_instruct,trivia_qa_2_60k,base,main,prompt_only,18,4,0.14152511954307556,0.14152511954307556,0.7079440874820672,0.7811486799444187,0.5069060773480663,0.7747318235995232,0.6695668271010736,0.7981335952848723,0.5034799554565702,0.7526632700324224,0.9991712707182321,0.0,0.14152511954307556,0.7079440874820672,0.77674849467346,0.5026243093922652,0.7766450417052827,0.667835070565446,0.7770050996754752,0.5013156072566126,0.776285317276517,1.0,-1.0424119234085083,-1.0424119234085083,0.7079442019474375,0.7811486799444187,0.5069060773480663,0.7747318235995232,0.6695668271010736,0.7981335952848723,0.5034799554565702,0.7526632700324224,0.9991712707182321,0.0,-1.0424119234085083,0.7079442019474375,0.7116720704029643,0.6508287292817679,0.6205425175251448,0.6331979106210098,0.9073083778966132,0.6668704156479217,0.4715145900880037,0.6027624309392265
ministral_8b_instruct,gsm8k,base_3_shot,main,prompt_only,ministral_8b_instruct,birth_years_4k,base,main,prompt_only,18,0,0.04858585074543953,0.04858585074543953,0.8003956684714701,0.6685823754789272,0.5,0.6711026615969582,0.0,0.6660377358490566,0.0,0.6762452107279694,0.0,0.0,0.04858585074543953,0.8003956684714701,0.6637931034482759,0.5,0.6734883720930233,0.0,0.6546112115732369,0.0,0.6934865900383141,0.0,0.5340757369995117,0.5340757369995117,0.8003956684714701,0.6685823754789272,0.5,0.6711026615969582,0.0,0.6660377358490566,0.0,0.6762452107279694,0.0,0.0,0.5340757369995117,0.8003956684714701,0.6168582375478927,0.7423469387755102,0.6934865900383141,0.7645687645687645,0.5779054916985952,0.703862660944206,0.8668582375478927,0.8367346938775511
ministral_8b_instruct,gsm8k,base_3_shot,main,prompt_only,ministral_8b_instruct,birth_years_4k,base,main,prompt_only,18,1,0.04520632326602936,0.04520632326602936,0.7959005610888883,0.6766076421248836,0.5,0.6778087279480037,0.0,0.6753006475485661,0.0,0.6803355079217148,0.0,0.0,0.04520632326602936,0.7959005610888883,0.6724137931034483,0.5038860103626943,0.6811791383219955,0.015424164524421594,0.6634275618374559,1.0,0.6999068033550793,0.007772020725388601,0.2911962568759918,0.2911962568759918,0.7959005610888883,0.6766076421248836,0.5,0.6778087279480037,0.0,0.6753006475485661,0.0,0.6803355079217148,0.0,0.0,0.2911962568759918,0.7959005610888883,0.6621621621621622,0.6994818652849741,0.7025030775543701,0.6759776536312849,0.6275659824046921,0.7333333333333333,0.7977632805219013,0.6269430051813472
